Player Id,Name,Birth Year,Age,Team,Position,year,Weekly Salary,Base Salary,ADJ Salary,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,SpG,KeyP,Drb_Off,Fouled,Off,Disp,UnsTch,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_Def,Blocks,AvgP,PS%,Age Lev
33404,Eden Hazard,1991,23,Chelsea,Forward,2014,185827.0,9663000.0,11640054.0,38.0,3389.0,14.0,11.0,9.0,12.02,8.97,11.24,31.84,19.48,0.32,0.24,0.3,0.62,0.54,0.85,0.52,2.0526315789473686,2.631578947368421,4.7631578947368425,2.973684210526316,0.1052631578947368,2.710526315789474,2.1052631578947367,79.56842105263155,0.7368421052631579,0.5789473684210527,0.3157894736842105,0.0,0.2368421052631578,0.6052631578947368,0.0263157894736842,58.36842105263158,86.83498647430116,23
25244,Alexis Sanchez,1989,25,Arsenal,Forward,2014,140000.0,7280000.0,8769491.0,35.0,2967.0,16.0,16.0,8.0,13.45,12.69,8.49,27.16,10.74,0.41,0.38,0.26,0.67,0.64,0.82,0.33,3.4857142857142858,2.342857142857143,3.2857142857142856,2.057142857142857,0.2285714285714285,3.3142857142857145,2.1142857142857143,78.10857142857141,1.9714285714285715,1.1714285714285717,1.2571428571428571,0.0,0.1714285714285714,1.542857142857143,0.0,42.0,76.80272108843538,25
14260,Sergio Aguero,1988,26,Man City,Forward,2014,160000.0,8320000.0,10022275.0,33.0,2551.0,26.0,21.0,8.0,25.27,20.7,5.57,27.81,6.88,0.89,0.73,0.2,1.09,0.93,0.98,0.24,4.484848484848484,1.0,2.636363636363636,0.7575757575757576,1.0,2.727272727272727,1.93939393939394,76.71515151515152,0.6666666666666666,0.3939393939393939,0.5454545454545454,0.0,0.0606060606060606,0.5151515151515151,0.0,25.24242424242424,85.59423769507804,26
8040,Cesc Fabregas,1987,27,Chelsea,Midfielder,2014,171481.0,8917000.0,10741422.0,34.0,2895.0,3.0,3.0,18.0,3.25,3.25,10.15,23.01,16.97,0.1,0.1,0.32,0.42,0.42,0.72,0.53,1.2647058823529411,2.794117647058824,1.0588235294117647,1.0588235294117647,0.0294117647058823,1.411764705882353,1.0,76.18529411764706,2.588235294117647,0.6764705882352942,0.8823529411764706,0.0,0.8823529411764706,2.117647058823529,0.1470588235294117,80.6470588235294,85.19328956965718,27
4522,Santi Cazorla,1985,29,Arsenal,Midfielder,2014,90000.0,4680000.0,5637530.0,37.0,2999.0,7.0,1.0,11.0,10.59,6.02,9.76,24.66,16.91,0.32,0.18,0.29,0.61,0.47,0.74,0.51,2.5135135135135136,2.108108108108108,2.351351351351352,1.648648648648649,0.054054054054054,1.4864864864864864,1.0,75.99459459459462,1.5945945945945943,1.0810810810810811,0.5405405405405406,0.0,0.6486486486486487,1.4594594594594594,0.1351351351351351,64.02702702702703,89.02490502321655,29
13756,Mesut Ozil,1989,25,Arsenal,Midfielder,2014,140000.0,7280000.0,8769491.0,22.0,1861.0,4.0,4.0,5.0,3.86,3.86,6.66,16.42,9.92,0.19,0.19,0.32,0.51,0.51,0.79,0.48,1.318181818181818,3.136363636363636,2.363636363636364,1.181818181818182,0.4090909090909091,1.681818181818182,1.4545454545454546,75.69545454545454,1.2727272727272727,0.4545454545454545,0.4545454545454545,0.0,0.2727272727272727,0.6818181818181818,0.0454545454545454,63.59090909090909,88.27734095782702,25
13727,Mile Jedinak,1984,30,Crystal Palace,Midfielder,2014,35000.0,1820000.0,2192373.0,24.0,2092.0,5.0,2.0,3.0,3.9,1.62,0.99,3.54,2.99,0.17,0.07,0.04,0.21,0.11,0.15,0.13,1.2916666666666667,0.5833333333333334,0.125,1.3333333333333333,0.0,0.375,0.2083333333333333,75.45833333333334,3.333333333333333,3.375,1.9583333333333333,0.0,3.5,1.125,0.5833333333333334,39.708333333333336,66.63168940188878,30
14102,David Silva,1986,28,Man City,Midfielder,2014,160000.0,8320000.0,10022275.0,32.0,2682.0,12.0,12.0,7.0,9.1,9.1,10.39,29.14,16.63,0.31,0.31,0.35,0.65,0.65,0.98,0.56,2.0625,2.875,1.59375,1.40625,0.0625,2.3125,1.3125,75.26875000000001,1.4375,0.65625,1.15625,0.0,0.25,1.71875,0.09375,67.0625,85.69431500465983,28
81726,Phil Jones,1992,22,Man Utd,Defender,2014,50000.0,2600000.0,3131961.0,22.0,1881.0,0.0,0.0,0.0,0.19,0.19,0.26,3.64,3.63,0.01,0.01,0.01,0.02,0.02,0.17,0.17,0.1363636363636363,0.2272727272727272,0.7272727272727273,1.318181818181818,0.0454545454545454,0.1818181818181818,0.1818181818181818,75.0909090909091,2.363636363636364,3.1818181818181817,1.181818181818182,0.5,7.5,0.6363636363636364,0.2727272727272727,52.77272727272727,85.27131782945736,22
29544,Morgan Schneiderlin,1990,24,Southampton,Midfielder,2014,34000.0,1768000.0,2129733.0,26.0,2183.0,4.0,4.0,1.0,2.39,2.39,1.56,8.42,7.16,0.1,0.1,0.06,0.16,0.16,0.35,0.29,1.1923076923076923,0.7692307692307693,0.6153846153846154,0.7307692307692307,0.0384615384615384,0.7692307692307693,0.5769230769230769,75.06153846153849,3.692307692307693,2.576923076923077,1.8461538461538465,0.0,1.6538461538461535,1.3076923076923077,0.1923076923076923,61.15384615384615,89.30817610062893,24
38128,Nemanja Matic,1988,26,Chelsea,Midfielder,2014,70000.0,3640000.0,4384745.0,36.0,3124.0,1.0,1.0,3.0,2.8,2.8,2.38,14.2,12.93,0.08,0.08,0.07,0.15,0.15,0.41,0.37,0.8055555555555556,0.6666666666666666,1.5,0.6111111111111112,0.1944444444444444,1.1944444444444444,0.4722222222222222,74.97777777777779,3.555555555555556,2.0277777777777777,1.3055555555555556,0.0833333333333333,3.2777777777777777,2.1666666666666665,0.1944444444444444,63.80555555555556,86.41706573791903,26
69738,Francis Coquelin,1991,23,Arsenal,Midfielder,2014,30000.0,1560000.0,1879177.0,22.0,1667.0,0.0,0.0,0.0,0.08,0.08,0.19,6.15,6.04,0.0,0.0,0.01,0.01,0.01,0.33,0.33,0.2272727272727272,0.2272727272727272,1.0,0.7727272727272727,0.0454545454545454,1.1363636363636365,0.5909090909090909,74.68636363636362,3.227272727272727,3.6818181818181817,1.3636363636363635,0.0454545454545454,3.0454545454545454,1.2272727272727273,0.3636363636363636,45.5,85.81418581418582,23
33064,Victor Moses,1991,23,Stoke,Midfielder,2014,30000.0,1560000.0,1879177.0,19.0,1473.0,3.0,2.0,3.0,4.52,3.76,2.32,6.23,1.94,0.28,0.23,0.14,0.42,0.37,0.38,0.12,2.1578947368421053,1.6842105263157894,3.3157894736842106,1.8421052631578947,0.1578947368421052,1.8421052631578947,1.947368421052632,74.45263157894736,1.736842105263158,1.1578947368421053,1.0526315789473684,0.0,0.3684210526315789,0.4210526315789473,0.0,21.105263157894736,81.54613466334165,23
24248,Diego Costa,1989,25,Chelsea,Forward,2014,150000.0,7800000.0,9395883.0,26.0,2111.0,20.0,19.0,3.0,15.22,14.46,4.55,21.37,5.28,0.65,0.62,0.19,0.84,0.81,0.91,0.22,2.923076923076923,1.5769230769230769,1.0769230769230769,0.9615384615384616,0.9615384615384616,2.6923076923076925,2.1538461538461537,74.29230769230769,0.5,0.1923076923076923,1.2692307692307692,0.0,0.8076923076923077,0.3076923076923077,0.0384615384615384,27.26923076923077,77.43300423131171,25
4145,Robert Huth,1984,30,Leicester,Defender,2014,37500.0,1950000.0,2348971.0,15.0,1186.0,1.0,1.0,0.0,1.17,1.17,0.0,0.95,0.85,0.09,0.09,0.0,0.09,0.09,0.07,0.06,1.0666666666666669,0.0,0.0666666666666666,0.4666666666666667,0.0666666666666666,0.2666666666666666,0.2666666666666666,73.30666666666667,1.4,3.0,0.8666666666666667,0.3999999999999999,7.266666666666667,0.2666666666666666,0.8,17.666666666666668,69.73584905660375,30
14053,Yaya Toure,1983,31,Man City,Midfielder,2014,190000.0,9880000.0,11901452.0,29.0,2358.0,10.0,8.0,1.0,7.11,5.59,3.24,26.02,20.9,0.27,0.21,0.12,0.4,0.34,0.99,0.8,3.0689655172413794,1.137931034482759,1.7586206896551724,0.6206896551724138,0.0,1.3103448275862069,0.8275862068965517,74.02758620689656,1.0,0.5172413793103449,1.137931034482759,0.0689655172413793,0.7586206896551724,1.0344827586206895,0.1724137931034483,83.13793103448276,88.8842803815844,31
33930,James Tomkins,1989,25,West Ham,Defender,2014,30000.0,1560000.0,1879177.0,22.0,1858.0,1.0,1.0,3.0,2.16,2.16,2.03,1.53,1.44,0.1,0.1,0.1,0.2,0.2,0.07,0.07,0.8181818181818182,0.4545454545454545,0.1363636363636363,1.0,0.0,0.0909090909090909,0.1363636363636363,74.01818181818183,2.136363636363636,1.5454545454545454,0.8181818181818182,0.6818181818181818,9.454545454545457,0.5,0.7272727272727273,33.45454545454545,75.27173913043478,25
30051,Laurent Koscielny,1986,28,Arsenal,Defender,2014,90000.0,4680000.0,5637530.0,27.0,2289.0,3.0,3.0,0.0,1.27,1.27,0.12,3.69,3.62,0.05,0.05,0.0,0.05,0.05,0.15,0.14,0.2962962962962963,0.074074074074074,0.2592592592592592,0.6296296296296297,0.1111111111111111,0.1851851851851851,0.2962962962962963,74.00370370370369,1.2592592592592593,3.5185185185185186,0.7037037037037037,1.0740740740740742,5.888888888888889,0.5185185185185185,0.6666666666666666,42.851851851851855,88.8504753673293,28
29908,Federico Fazio,1987,27,Tottenham,Defender,2014,45000.0,2340000.0,2818765.0,20.0,1780.0,0.0,0.0,0.0,0.49,0.49,0.04,4.65,4.61,0.02,0.02,0.0,0.03,0.03,0.24,0.23,0.55,0.15,0.35,0.35,0.0,0.15,0.5,73.89,1.8,3.4,0.75,1.55,8.25,0.35,1.35,44.65,80.85106382978722,27
6042,Gael Clichy,1985,29,Man City,Defender,2014,95000.0,4940000.0,5950726.0,23.0,2060.0,1.0,1.0,3.0,1.08,1.08,2.3,10.75,8.6,0.05,0.05,0.1,0.15,0.15,0.47,0.38,0.3478260869565217,1.1304347826086956,1.0434782608695652,0.391304347826087,0.0869565217391304,0.6521739130434783,0.6521739130434783,73.75217391304349,2.565217391304348,3.391304347826087,0.4782608695652174,0.6086956521739131,3.4347826086956523,0.9565217391304348,0.3478260869565217,59.0,81.50331613854091,29
76810,Gabriel Paulista,1991,23,Arsenal,Defender,2014,50000.0,2600000.0,3131961.0,6.0,347.0,0.0,0.0,1.0,0.04,0.04,0.03,0.83,0.83,0.01,0.01,0.01,0.02,0.02,0.22,0.22,0.3333333333333333,0.1666666666666666,0.0,0.3333333333333333,0.0,0.1666666666666666,0.0,73.61666666666667,0.5,3.0,0.5,1.0,7.5,0.1666666666666666,0.8333333333333334,21.666666666666668,85.38461538461539,23
8462,Boaz Myhill,1983,31,WBA,Goalkeeper,2014,18500.0,962000.0,1158826.0,11.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.56363636363636,0.0,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0,30.27272727272728,40.54054054054054,31
71345,Chris Smalling,1990,24,Man Utd,Defender,2014,55000.0,2860000.0,3445157.0,25.0,1881.0,4.0,4.0,0.0,1.86,1.86,0.39,4.17,4.01,0.09,0.09,0.02,0.11,0.11,0.2,0.19,0.68,0.2,0.64,0.44,0.0,0.32,0.2,73.44,1.44,2.32,0.96,0.48,6.24,0.24,0.64,48.0,88.58333333333334,24
14075,Jonas Gutierrez,1983,31,Newcastle,Midfielder,2014,45000.0,2340000.0,2818765.0,10.0,629.0,1.0,1.0,1.0,0.3,0.3,0.62,1.37,1.05,0.04,0.04,0.09,0.13,0.13,0.2,0.15,1.0,0.5,3.0,1.8,0.0,1.0,0.6,73.42,3.5,1.7,0.9,0.0,1.3,1.0,0.3,25.3,76.6798418972332,31
80767,Philippe Coutinho,1992,22,Liverpool,Midfielder,2014,75000.0,3900000.0,4697941.0,35.0,2810.0,5.0,5.0,5.0,4.38,4.38,5.53,13.68,7.0,0.14,0.14,0.18,0.32,0.32,0.44,0.22,2.942857142857143,1.6857142857142855,3.1142857142857143,1.3714285714285714,0.2,1.7428571428571429,2.057142857142857,73.37142857142855,1.7428571428571429,0.4857142857142857,0.7428571428571429,0.0,0.3714285714285714,1.6857142857142855,0.0571428571428571,45.74285714285714,80.1998750780762,22
23072,Nacho Monreal,1986,28,Arsenal,Defender,2014,0.0,0.0,0.0,28.0,2308.0,0.0,0.0,1.0,0.3,0.3,1.38,9.09,8.26,0.01,0.01,0.05,0.07,0.07,0.35,0.32,0.1428571428571428,0.4285714285714285,0.25,0.6785714285714286,0.0357142857142857,0.0714285714285714,0.3571428571428571,73.32142857142857,2.321428571428572,3.142857142857143,0.8571428571428571,0.2857142857142857,4.428571428571429,0.7142857142857143,0.3571428571428571,44.5,85.553772070626,28
